127.0.0.1 [12/Jun/2014:15:24:34 +0000][379 ms] "GET /component-registry/services/7e5e56a0-ea19-4d0a-9d76-d4d3a171b7f1 HTTP/1.1" 200 4673 [tomcat-http--46]
127.0.0.1 [12/Jun/2014:15:24:36 +0000][47 ms] "GET /component-registry/endpoints/types/sso HTTP/1.1" 200 1859 [tomcat-http--32]
127.0.0.1 [12/Jun/2014:15:24:38 +0000][37 ms] "GET /component-registry/endpoints/types/sso HTTP/1.1" 200 1859 [tomcat-http--48]
127.0.0.1 [12/Jun/2014:15:24:45 +0000][2192 ms] "GET /component-registry/services/?page=1&limit=2147483647&$filter=serviceType/serviceTypeId%20eq%20'com.vmware.csp.core.cafe.workitem'%20and%20ownerId%20eq%20'cafe-58141ba4-0742-401d-8176-3cc9d1264960' HTTP/1.1" 200 477 [tomcat-http--50]
127.0.0.1 [12/Jun/2014:15:24:59 +0000][208 ms] "GET /component-registry/endpoints/types/com.vmware.csp.cafe.authorization.api/default HTTP/1.1" 200 526 [tomcat-http--1]
127.0.0.1 [12/Jun/2014:15:24:59 +0000][140 ms] "GET /component-registry/services/9e4a2642-bc86-466c-91dd-b54b788643af/endpoints/com.vmware.csp.core.cafe.service.registry.status HTTP/1.1" 200 530 [tomcat-http--1]
127.0.0.1 [12/Jun/2014:15:25:21 +0000][44 ms] "GET /identity/api/status HTTP/1.1" 200 1437 [tomcat-http--2]
127.0.0.1 [12/Jun/2014:15:25:26 +0000][137 ms] "PUT /identity/api/authorization/permissions/EDIT_MANAGEMENT_ENDPOINTS HTTP/1.1" 201 - [tomcat-http--6]
127.0.0.1 [12/Jun/2014:15:25:26 +0000][135 ms] "PUT /identity/api/authorization/roles/extensions/MANAGEMENT_TENANT_ADMIN_EXT HTTP/1.1" 201 - [tomcat-http--6]
127.0.0.1 [12/Jun/2014:15:25:26 +0000][108 ms] "GET /component-registry/services/types/com.vmware.csp.component.management.service/endpoints/com.vmware.csp.core.cafe.service.resource.bundle?page=1&limit=1 HTTP/1.1" 200 499 [tomcat-http--5]
127.0.0.1 [12/Jun/2014:15:25:26 +0000][76 ms] "GET /component-registry/endpoints/79571eb4-79b9-41b3-8be1-03ee44728a09 HTTP/1.1" 200 550 [tomcat-http--5]
127.0.0.1 [12/Jun/2014:15:25:26 +0000][25 ms] "GET /component-registry/endpoints/types/sso HTTP/1.1" 200 1859 [tomcat-http--7]
127.0.0.1 [12/Jun/2014:15:25:27 +0000][108 ms] "GET /component-registry/endpoints/types/com.vmware.csp.core.plugin.service.api/default HTTP/1.1" 200 523 [tomcat-http--11]
127.0.0.1 [12/Jun/2014:15:25:27 +0000][98 ms] "GET /component-registry/services/b88dae42-be8c-4cac-9dee-81e74b410ae5/endpoints/com.vmware.csp.core.cafe.service.registry.status HTTP/1.1" 200 540 [tomcat-http--11]
127.0.0.1 [12/Jun/2014:15:25:27 +0000][8 ms] "GET /component-registry/api/status HTTP/1.1" 200 911 [tomcat-http--9]
127.0.0.1 [12/Jun/2014:15:25:29 +0000][103 ms] "GET /component-registry/endpoints/types/com.vmware.csp.core.cafe.workitem.api/default HTTP/1.1" 200 520 [tomcat-http--11]
127.0.0.1 [12/Jun/2014:15:25:29 +0000][104 ms] "GET /component-registry/services/dd1c789a-8cb9-4a68-84df-79a026cf5343/endpoints/com.vmware.csp.core.cafe.service.registry.status HTTP/1.1" 200 538 [tomcat-http--11]
127.0.0.1 [12/Jun/2014:15:25:29 +0000][7 ms] "GET /workitem-service/api/status HTTP/1.1" 200 1445 [tomcat-http--3]
127.0.0.1 [12/Jun/2014:15:25:32 +0000][59727 ms] "PUT /notification-service/api/notifications/scenarios/com.vmware.cafe.samples.travel.workItem HTTP/1.1" 201 - [tomcat-http--47]
127.0.0.1 [12/Jun/2014:15:25:33 +0000][232 ms] "GET /component-registry/services/types/com.vmware.cafe.samples.travel/endpoints/com.vmware.csp.core.cafe.service.resource.bundle?page=1&limit=1 HTTP/1.1" 200 488 [tomcat-http--10]
127.0.0.1 [12/Jun/2014:15:25:33 +0000][334 ms] "GET /component-registry/services/types/com.vmware.csp.core.cafe.workitem/endpoints/com.vmware.csp.core.cafe.service.resource.bundle?page=1&limit=1 HTTP/1.1" 200 497 [tomcat-http--12]
127.0.0.1 [12/Jun/2014:15:25:33 +0000][202 ms] "GET /component-registry/endpoints/682d8fa1-998c-4e44-914c-2bd76890aaaa HTTP/1.1" 200 539 [tomcat-http--10]
127.0.0.1 [12/Jun/2014:15:25:33 +0000][6891 ms] "GET /management-service/api/bundles/i18n.zip HTTP/1.1" 200 14139 [tomcat-http--8]
127.0.0.1 [12/Jun/2014:15:25:33 +0000][205 ms] "GET /component-registry/endpoints/530cd871-6b7a-4a25-a2fe-12fc95d3f8f3 HTTP/1.1" 200 548 [tomcat-http--12]
127.0.0.1 [12/Jun/2014:15:25:33 +0000][691 ms] "GET /notification-service/api/notifications/scenarios/com.vmware.cafe.samples.travel.workItem HTTP/1.1" 200 707 [tomcat-http--47]
127.0.0.1 [12/Jun/2014:15:25:33 +0000][52 ms] "GET /component-registry/endpoints/types/sso HTTP/1.1" 200 1859 [tomcat-http--13]
127.0.0.1 [12/Jun/2014:15:25:33 +0000][865 ms] "POST /component-registry/api/plugins/ HTTP/1.1" 201 2244 [tomcat-http--14]
127.0.0.1 [12/Jun/2014:15:25:34 +0000][426 ms] "GET /component-registry/services/types/com.vmware.csp.component.management.service/endpoints/com.vmware.csp.core.cafe.service.resource.bundle?page=1&limit=1 HTTP/1.1" 200 499 [tomcat-http--15]
127.0.0.1 [12/Jun/2014:15:25:34 +0000][378 ms] "GET /component-registry/services/dd1c789a-8cb9-4a68-84df-79a026cf5343 HTTP/1.1" 200 3669 [tomcat-http--12]
127.0.0.1 [12/Jun/2014:15:25:34 +0000][539 ms] "GET /component-registry/services/962be6e7-4f80-4f36-aa1c-ebea660e2312 HTTP/1.1" 200 4408 [tomcat-http--10]
127.0.0.1 [12/Jun/2014:15:25:34 +0000][43 ms] "GET /component-registry/endpoints/types/sso HTTP/1.1" 200 1859 [tomcat-http--18]
127.0.0.1 [12/Jun/2014:15:25:34 +0000][68886 ms] "POST /workitem-service/api/workitems/types/ HTTP/1.1" 201 - [tomcat-http--41]
127.0.0.1 [12/Jun/2014:15:25:34 +0000][215 ms] "GET /component-registry/endpoints/79571eb4-79b9-41b3-8be1-03ee44728a09 HTTP/1.1" 200 550 [tomcat-http--15]
127.0.0.1 [12/Jun/2014:15:25:35 +0000][1374 ms] "GET /component-registry/endpoints/types/com.vmware.csp.cafe.notification.api/default HTTP/1.1" 200 523 [tomcat-http--16]
